threshold,cluster,doy,cum_pct
0.6,Group 3,179,67.86137796955039
0.6,Group 3,182,78.53245080477244
0.6,Group 3,185,84.0552664694193
0.6,Group 3,188,88.46401792461315
0.6,Group 3,191,92.83280636226577
0.6,Group 3,194,96.15601501998692
0.6,Group 3,197,98.3060766456498
0.6,Group 3,200,99.71637344515894
0.6,Group 3,203,100.0
0.6,Group 4,149,
0.6,Group 4,152,0.36543008395000487
0.6,Group 4,155,0.917663153029775
0.6,Group 4,158,2.3849525954512996
0.6,Group 4,161,5.318992799794585
0.6,Group 4,164,10.18579964719312
0.6,Group 4,167,15.899290390919077
0.6,Group 4,170,24.89504776103435
0.6,Group 4,173,35.65857262771653
0.6,Group 4,176,51.25815367152166
0.6,Group 4,179,66.21807072665244
0.6,Group 4,182,77.20276836710487
0.6,Group 4,185,82.90074994239535
0.6,Group 4,188,87.46767335626328
0.6,Group 4,191,91.89074826361366
0.6,Group 4,194,95.7959141037727
0.6,Group 4,197,98.40616337324661
0.6,Group 4,200,99.90084851877594
0.6,Group 4,203,100.0
0.6,Group 5,149,
0.6,Group 5,152,0.19826162345170148
0.6,Group 5,155,0.8743630091364334
0.6,Group 5,158,1.9309582538164338
0.6,Group 5,161,5.55537337391718
0.6,Group 5,164,10.92724191092959
0.6,Group 5,167,15.050304892218811
0.6,Group 5,170,22.101317223582637
0.6,Group 5,173,35.36894374518036
0.6,Group 5,176,48.044195160900216
0.6,Group 5,179,62.94175854016802
0.6,Group 5,182,75.54137389480435
0.6,Group 5,185,81.7042801010921
0.6,Group 5,188,86.60891063343632
0.6,Group 5,191,91.27738051933397
0.6,Group 5,194,94.89963035865266
0.6,Group 5,197,97.85980915281799
0.6,Group 5,200,99.70810637572272
0.6,Group 5,203,100.0
0.6,Group 6,149,
0.6,Group 6,152,0.1797552690962115
0.6,Group 6,155,0.7080976996373883
0.6,Group 6,158,1.3954393212921137
0.6,Group 6,161,4.877588629504033
0.6,Group 6,164,9.443357148599931
0.6,Group 6,167,13.726484056446319
0.6,Group 6,170,20.492807715746082
0.6,Group 6,173,32.96496963355265
0.6,Group 6,176,43.994736112286034
0.6,Group 6,179,59.00450618309736
0.6,Group 6,182,71.98143289912836
0.6,Group 6,185,79.28783896095159
0.6,Group 6,188,85.06606655195961
0.6,Group 6,191,90.39836303223673
0.6,Group 6,194,94.41220286781568
0.6,Group 6,197,97.27607977930647
0.6,Group 6,200,99.52038571486837
0.6,Group 6,203,100.0
0.7,Group 1,149,
0.7,Group 1,152,0.8370837616369343
0.7,Group 1,155,1.6317522608917776
0.7,Group 1,158,5.23166695222405
0.7,Group 1,161,18.92214292110381
0.7,Group 1,164,33.4466827817046
0.7,Group 1,167,47.35663457184831
0.7,Group 1,170,55.42645404938896
0.7,Group 1,173,66.01849283323129
0.7,Group 1,176,73.54054381476487
0.7,Group 1,179,82.22877584871804
0.7,Group 1,182,89.38119035932573
0.7,Group 1,185,92.45354063667004
