year,cluster,offset_label,foregone_proportion_pct,remaining_proportion_pct,closure_protection_pct,cluster_total_production,cluster_closure_production
2020,Cluster 3,-3 days (June 8),4.7325017,95.2674983,3.4651666541274606,55609.05073116319,1926.9462826130896
2020,Cluster 4,-3 days (June 8),4.7325017,95.2674983,2.2604079715298147,134967.69354936507,3050.8205039797795
2020,Cluster 5,-3 days (June 8),4.7325017,95.2674983,2.761418779701898,92301.56813075558,2548.8328363220267
2020,Cluster 6,-3 days (June 8),4.7325017,95.2674983,1.9853597410940012,49360.14936329551,979.976533602736
2021,Cluster 1,-3 days (June 8),3.525306999999998,96.474693,4.802831186363283,3300.24191070316,158.50504771268288
2021,Cluster 2,-3 days (June 8),3.525306999999998,96.474693,7.421530054203386,115511.60536182937,8572.728508020977
2021,Cluster 3,-3 days (June 8),3.525306999999998,96.474693,2.492450244286377,51534.665143589875,1284.4758872635723
2021,Cluster 4,-3 days (June 8),3.525306999999998,96.474693,0.7526665019291517,129669.06930779091,975.9756480430372
2021,Cluster 5,-3 days (June 8),3.525306999999998,96.474693,2.0467617698203746,90403.45983865332,1850.3434545724722
2021,Cluster 6,-3 days (June 8),3.525306999999998,96.474693,2.7849190736483864,53829.34303536333,1499.1036414114528
2017,Cluster 1,+3 days (June 14),7.484224999999995,92.515775,7.829135848879942,3146.7650585852016,246.36451128172195
2017,Cluster 2,+3 days (June 14),7.484224999999995,92.515775,4.416880875607898,111127.38190590193,4908.364078965534
2017,Cluster 3,+3 days (June 14),7.484224999999995,92.515775,5.3521408072464265,51479.38541473646,2755.249194101775
2017,Cluster 4,+3 days (June 14),7.484224999999995,92.515775,4.569181483962437,122699.8567106286,5606.3791336704835
2017,Cluster 5,+3 days (June 14),7.484224999999995,92.515775,6.7637629568768,95733.129581944,6475.161956122393
2017,Cluster 6,+3 days (June 14),7.484224999999995,92.515775,4.359960923753469,61696.20682453911,2689.9305089880268
2018,Cluster 1,+3 days (June 14),17.341209899999996,82.6587901,31.88376005482639,3190.5286265710233,1017.2604917764529
2018,Cluster 2,+3 days (June 14),17.341209899999996,82.6587901,25.922911952423245,99586.04311490823,25815.602273579912
